SKU,Brand,Product Name,Description,Materials Composition,Cleaning tips,Quantity,Sizes,Variant 1 Type,Variant 1 Value A,Variant 2 Type,Variant 2 Value,Colour,Sell Price,Weight,Image name,Main category,Categories tags,Return Policy,Comment,,,,,,,,,,,,,,,,
DADA-SC-SAMBA,Dada ,Scarf Samba,"The design of the scarf Samba was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,200x17cm,,,,,"Green, Pink",€70.00,,Dada scarf Samba,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-ACID,Dada ,Scarf Acid,"The design of the scarf Acid was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",7,200x17cm,,,,,"Orange, Lila",€70.00,,Dada scarf Acid,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-ABSTR,Dada ,Scarf Abstract,"The design of the scarf Abstract was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",6,200x17cm,,,,,Multicolored,€70.00,,Dada scarf Abstract,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-NEON,Dada ,Scarf Neon,"The design of the scarf Neon was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,200x17cm,,,,,"Neon green, grey",€70.00,,Dada scarf Neon,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-LOLA,Dada ,Scarf Lola,"The design of the scarf Lola was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,200x17cm,,,,,Multicolored,€70.00,,Dada scarf Lola,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-JAZZ,Dada ,Scarf Jazz,"The design of the scarf Jazz was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,200x17cm,,,,,Multicolored,€70.00,,Dada scarf Jazz,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-HERBS,Dada ,Scarf Herbst ,"The design of the scarf Herbst was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. All our scarfs are proudly made in Germany using high-quality full jacquard knit with 100% soft acrylic yarn which makes them super comfortable.",100% Acrylic,"Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,200x17cm,,,,,Multicolored,€70.00,,Dada scarf Herbst,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-MONO,Dada ,Scarf Mono,"The design of the scarf Mono was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. It is proudly made in Germany using 100% merino wool extra fine. It’s a premium Italian wool quality, which makes them very soft, lightweight, and warm.","100% Merino Wool (Extra Fine, Italian origin)","Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,175x25cm,,,,,"Black, White",€100.00,,Dada scarf Mono,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-BOHO,Dada ,Scarf Boho,"The design of the scarf Boho was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. It is proudly made in Germany using 100% merino wool extra fine. It’s a premium Italian wool quality, which makes them very soft, lightweight, and warm.","100% Merino Wool (Extra Fine, Italian origin)","Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",2,175x25cm,,,,,"Black, Beige",€100.00,,Dada scarf Boho,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
DADA-SC-SOHO,Dada ,Scarf Soho,"The design of the scarf Soho was made with handcrafted techniques using collage paired with paper, paint and later translated into knitting. It is proudly made in Germany using 100% merino wool extra fine. It’s a premium Italian wool quality, which makes them very soft, lightweight, and warm.","100% Merino Wool (Extra Fine, Italian origin)","Machine wash cold on a wool cycle or wash it by hand.
Cool iron. 
Do not tumble dry. 
Do not bleach. ",1,175x25cm,,,,,"Red, Blue",€100.00,,Dada scarf Soho,Accessories,Scarfs & Shawls /  Knitwear / Accessories / New in ,,,,,,,,,,,,,,,,,,
